axis,p_16models,p_family_means,p_1perfam_min,p_1perfam_median,p_1perfam_max,frac_sig_bonf
Beneficence-utility,0.009083933817374308,0.01851090086384204,0.00462772521596051,0.03301110654051831,0.08782394076511724,0.28888888888888886
Beneficence-need,2.789324500423493e-05,0.00010283833813245579,0.00010283833813245579,0.00010283833813245579,0.00010283833813245579,1.0
Non-maleficence,0.37915573046221474,0.6935824181408421,0.17947536814939213,0.44166763568334444,0.9603978327618545,0.0
Patient empowerment,0.32562470486612316,0.37889773456378517,0.22023660901991526,0.3040208804754042,0.49346346429325494,0.0
Resource justice,4.415116537904949e-05,0.00010283833813245579,0.00010283833813245579,0.00010283833813245579,0.00041135335252982314,1.0
