doctor,entity_type,top_N,Beneficence-Immediate,Beneficence-LongTerm,Non-maleficence,Autonomy,Justice
fm_1,human,20,0.7474820532814767,-1.283944079615492,-0.606976978666884,-0.7883561227922862,-0.3575077258845184
fm_1,human,30,0.7854587816063042,-1.4034075971987987,2.6967994498529686,-0.7893579565127677,-0.3288373714784621
fm_1,human,50,1.1606937734324543,-1.3843412493947538,2.8097574347450824,-0.5501466633067092,1.0294159920650632
fm_2,human,20,0.7805339808075289,-0.8315184794412046,-0.606976978666884,-0.18549555830406733,0.3402218952557785
fm_2,human,30,0.7624351871060068,-0.8569893314009305,-0.8090398349558906,-0.3431991115272896,0.4611021636380594
fm_2,human,50,0.7990997072208458,-0.8773558429342855,-0.8429272304235247,-0.2802633945147389,0.8506875905041298
fm_3,human,20,1.0118974734898907,-0.5923792336347955,-0.606976978666884,-0.7883561227922862,0.509435782005068
fm_3,human,30,1.130812699110767,-0.5767748361199718,-0.8090398349558906,-0.3431991115272896,1.0946892536325619
fm_3,human,50,1.1154945151560027,-0.5836752721187703,-0.8429272304235247,-0.8200299320986799,1.005779999877913
fm_4,human,20,1.2102090386462008,-1.4196717596677784,-0.606976978666884,-1.391216687280505,1.469734478628124
fm_4,human,30,1.2459306716122542,-1.4874719457830863,-0.8090398349558906,-1.2355168014982445,1.5357607479326028
fm_4,human,50,1.1757601928579375,-1.5852805873211588,-0.8429272304235247,-1.0899132008906505,1.3376589056449657
fm_5,human,20,1.1441051835940974,0.25430296097708527,-0.606976978666884,-1.391216687280505,1.3973142213968144
fm_5,human,30,1.1538362936110644,0.22183647543075838,-0.8090398349558906,-1.2355168014982445,1.6324931728351015
fm_5,human,50,1.3414908065382578,0.15207184213483632,-0.8429272304235247,-0.2802633945147389,2.145840835820045
ph_1,human,20,0.45001470554701156,-1.6652742283338202,1.6475089420958282,-1.391216687280505,-0.5301600534183192
ph_1,human,30,0.4170812696015438,-1.688292334067773,0.943879807448539,-1.681675646483721,-0.6958098611741905
ph_1,human,50,0.6936347712424603,-1.742940683232646,0.37463432463267776,-1.899563007266562,-0.13672649905780154
ph_2,human,20,0.7805339808075289,-1.607105222597126,1.6475089420958282,-0.18549555830406733,-0.8343859911488347
ph_2,human,30,0.7624351871060068,-1.641589918187613,0.943879807448539,-0.3431991115272896,-0.7548122943820403
ph_2,human,50,0.8292325460718132,-1.7058441900770018,0.37463432463267776,-1.0899132008906505,-0.725066888975839
ph_3,human,20,0.978845545963839,-1.2322382967384309,-0.606976978666884,-1.391216687280505,0.7362663734045604
ph_3,human,30,1.0847655101101714,-1.2539598663822877,-0.8090398349558906,-1.681675646483721,0.8086778464486327
ph_3,human,50,1.1606937734324543,-1.2823258932167325,0.37463432463267776,-1.899563007266562,0.8783698955510973
ph_4,human,20,1.441572531328563,-1.348576308211819,1.6475089420958282,-1.391216687280505,0.284887341568748
ph_4,human,30,1.1768598881113619,-1.1512145514459362,0.943879807448539,-1.681675646483721,-0.22232648555780088
ph_4,human,50,1.1154945151560027,-1.0195590666975876,0.37463432463267776,-1.3597964696826208,-0.15329363142961147
ph_5,human,20,1.0449494010159421,-1.1805325138613694,1.6475089420958282,-0.7883561227922862,0.6269361279288912
ph_5,human,30,0.9466239431083869,-1.338024214966575,0.943879807448539,-1.2355168014982445,0.0885027700581961
ph_5,human,50,0.7990997072208458,-1.3936153726836649,1.5921958796888802,-1.3597964696826208,-0.07009233889045029
doctor8,llm_legacy,20,-1.5661528735421424,1.1203748241678642,-0.606976978666884,0.41736500618415134,-0.9239528092834383
