doctor,entity_type,patient_num,ranknet_score
fm_1,human,1,0.2867995798587799
fm_1,human,3,-0.07196824252605438
fm_1,human,4,-0.12718522548675537
fm_1,human,6,0.7288218140602112
fm_1,human,7,-1.208767056465149
fm_1,human,8,-1.0350815057754517
fm_1,human,10,0.34744006395339966
fm_1,human,11,-1.239274263381958
fm_1,human,12,1.4183363914489746
fm_1,human,13,-1.3370146751403809
fm_1,human,19,-0.1963452696800232
fm_1,human,24,-1.0219218730926514
fm_1,human,25,1.5121177434921265
fm_1,human,26,-0.9293964505195618
fm_1,human,29,0.9439568519592285
fm_1,human,30,-1.9226454496383667
fm_1,human,31,-0.5081135630607605
fm_1,human,32,-0.10802111029624939
fm_1,human,34,1.6403284072875977
fm_1,human,40,-0.7614008188247681
fm_1,human,42,0.6673769950866699
fm_1,human,43,-0.4381369948387146
fm_1,human,44,-1.470436930656433
fm_1,human,45,1.444724440574646
fm_1,human,50,-0.9095882773399353
fm_1,human,52,-1.6979376077651978
fm_1,human,55,0.21133831143379211
fm_1,human,56,0.45822855830192566
fm_1,human,57,-1.072407841682434
fm_1,human,60,-0.9466848969459534
fm_1,human,61,-0.5239484310150146
fm_1,human,62,-1.0465734004974365
fm_1,human,64,-1.056281328201294
fm_1,human,66,0.18335694074630737
fm_1,human,67,1.506610631942749
fm_1,human,68,0.07812324166297913
fm_1,human,70,-1.661830186843872
fm_1,human,71,0.861781120300293
fm_1,human,73,0.7056512832641602
fm_1,human,74,-0.9023001790046692
fm_1,human,75,1.3995684385299683
fm_1,human,77,-1.801954984664917
fm_1,human,78,-1.2169257402420044
fm_1,human,79,0.3874257802963257
fm_1,human,80,1.381337285041809
fm_1,human,82,1.076891303062439
fm_1,human,83,0.09449226409196854
fm_1,human,84,0.7651186585426331
fm_1,human,85,-1.7620055675506592
fm_1,human,87,-0.9180759787559509
fm_1,human,89,0.8415501117706299
fm_1,human,90,0.6147317886352539
fm_1,human,91,-1.4764535427093506
fm_1,human,93,0.6698421835899353
fm_1,human,95,-1.1265926361083984
fm_1,human,97,0.0522833988070488
fm_1,human,98,-0.9795870184898376
fm_1,human,101,-1.0191000699996948
fm_1,human,102,-0.4685850739479065
fm_1,human,105,-1.4303417205810547
