doctor,group,config,soft_labels,include_paths,include_auto,syn_cap,include_hier,n_hier_pairs,test_accuracy,test_auc
fm_2,family_medicine,hard_noPath_auto_syn10_hier,False,False,True,10,True,18,0.59,0.652325
fm_2,family_medicine,hard_noPath_noAuto_syn0_noHier,False,False,False,0,False,0,0.7,0.7570749999999999
fm_2,family_medicine,hard_noPath_noAuto_syn0_hier,False,False,False,0,True,18,0.675,0.7501
fm_2,family_medicine,hard_noPath_noAuto_syn5_noHier,False,False,False,5,False,0,0.73,0.754725
fm_2,family_medicine,hard_noPath_noAuto_syn5_hier,False,False,False,5,True,18,0.69,0.7608249999999999
fm_2,family_medicine,hard_noPath_noAuto_syn10_noHier,False,False,False,10,False,0,0.67,0.7339249999999999
fm_2,family_medicine,hard_noPath_noAuto_syn10_hier,False,False,False,10,True,18,0.685,0.7418500000000001
fm_2,family_medicine,hard_path_auto_syn0_noHier,False,True,True,0,False,0,0.655,0.72035
fm_2,family_medicine,hard_path_auto_syn0_hier,False,True,True,0,True,18,0.665,0.7161999999999998
fm_2,family_medicine,hard_path_auto_syn5_noHier,False,True,True,5,False,0,0.66,0.702475
fm_2,family_medicine,hard_path_auto_syn5_hier,False,True,True,5,True,18,0.635,0.69465
fm_2,family_medicine,hard_path_auto_syn10_noHier,False,True,True,10,False,0,0.625,0.6759
fm_2,family_medicine,hard_path_auto_syn10_hier,False,True,True,10,True,18,0.635,0.66635
fm_2,family_medicine,hard_path_noAuto_syn0_noHier,False,True,False,0,False,0,0.745,0.7882
fm_2,family_medicine,hard_path_noAuto_syn0_hier,False,True,False,0,True,18,0.735,0.77665
fm_2,family_medicine,hard_path_noAuto_syn5_noHier,False,True,False,5,False,0,0.705,0.76525
fm_2,family_medicine,hard_path_noAuto_syn5_hier,False,True,False,5,True,18,0.715,0.7740499999999999
fm_2,family_medicine,hard_path_noAuto_syn10_noHier,False,True,False,10,False,0,0.685,0.7458
fm_2,family_medicine,hard_path_noAuto_syn10_hier,False,True,False,10,True,18,0.665,0.7342500000000001
fm_2,family_medicine,soft_noPath_auto_syn0_noHier,True,False,True,0,False,0,0.57,0.6160749999999999
fm_2,family_medicine,soft_noPath_auto_syn0_hier,True,False,True,0,True,18,0.54,0.635575
fm_2,family_medicine,soft_noPath_auto_syn5_noHier,True,False,True,5,False,0,0.54,0.618875
fm_2,family_medicine,soft_noPath_auto_syn5_hier,True,False,True,5,True,18,0.545,0.6203000000000001
fm_2,family_medicine,soft_noPath_auto_syn10_noHier,True,False,True,10,False,0,0.55,0.591475
fm_2,family_medicine,soft_noPath_auto_syn10_hier,True,False,True,10,True,18,0.53,0.586625
fm_2,family_medicine,soft_noPath_noAuto_syn0_noHier,True,False,False,0,False,0,0.715,0.7802999999999999
fm_2,family_medicine,soft_noPath_noAuto_syn0_hier,True,False,False,0,True,18,0.685,0.7544000000000001
fm_2,family_medicine,soft_noPath_noAuto_syn5_noHier,True,False,False,5,False,0,0.735,0.7458
fm_2,family_medicine,soft_noPath_noAuto_syn5_hier,True,False,False,5,True,18,0.695,0.7426
fm_2,family_medicine,soft_noPath_noAuto_syn10_noHier,True,False,False,10,False,0,0.65,0.698275
fm_2,family_medicine,soft_noPath_noAuto_syn10_hier,True,False,False,10,True,18,0.66,0.697725
fm_2,family_medicine,soft_path_auto_syn0_noHier,True,True,True,0,False,0,0.6,0.635775
fm_2,family_medicine,soft_path_auto_syn0_hier,True,True,True,0,True,18,0.59,0.647975
fm_2,family_medicine,soft_path_auto_syn5_noHier,True,True,True,5,False,0,0.59,0.6259250000000001
fm_2,family_medicine,soft_path_auto_syn5_hier,True,True,True,5,True,18,0.57,0.632875
fm_2,family_medicine,soft_path_auto_syn10_noHier,True,True,True,10,False,0,0.575,0.6129499999999999
fm_2,family_medicine,soft_path_auto_syn10_hier,True,True,True,10,True,18,0.585,0.63065
fm_2,family_medicine,soft_path_noAuto_syn0_noHier,True,True,False,0,False,0,0.715,0.7864500000000001
fm_2,family_medicine,soft_path_noAuto_syn0_hier,True,True,False,0,True,18,0.7,0.776975
fm_2,family_medicine,soft_path_noAuto_syn5_noHier,True,True,False,5,False,0,0.73,0.7563749999999999
fm_2,family_medicine,soft_path_noAuto_syn5_hier,True,True,False,5,True,18,0.7,0.738525
fm_2,family_medicine,soft_path_noAuto_syn10_noHier,True,True,False,10,False,0,0.705,0.7336
fm_2,family_medicine,soft_path_noAuto_syn10_hier,True,True,False,10,True,18,0.705,0.73275
fm_3,family_medicine,hard_noPath_auto_syn0_noHier,False,False,True,0,False,0,0.615,0.6647000000000001
fm_3,family_medicine,hard_noPath_auto_syn0_hier,False,False,True,0,True,18,0.665,0.7003999999999999
fm_3,family_medicine,hard_noPath_auto_syn5_noHier,False,False,True,5,False,0,0.61,0.652675
fm_3,family_medicine,hard_noPath_auto_syn5_hier,False,False,True,5,True,18,0.63,0.6712250000000001
fm_3,family_medicine,hard_noPath_auto_syn10_noHier,False,False,True,10,False,0,0.625,0.6701499999999999
fm_3,family_medicine,hard_noPath_auto_syn10_hier,False,False,True,10,True,18,0.64,0.680775
fm_3,family_medicine,hard_noPath_noAuto_syn0_noHier,False,False,False,0,False,0,0.705,0.76315
fm_3,family_medicine,hard_noPath_noAuto_syn0_hier,False,False,False,0,True,18,0.705,0.7736999999999999
fm_3,family_medicine,hard_noPath_noAuto_syn5_noHier,False,False,False,5,False,0,0.75,0.8116749999999999
fm_3,family_medicine,hard_noPath_noAuto_syn5_hier,False,False,False,5,True,18,0.74,0.798725
fm_3,family_medicine,hard_noPath_noAuto_syn10_noHier,False,False,False,10,False,0,0.745,0.7948
fm_3,family_medicine,hard_noPath_noAuto_syn10_hier,False,False,False,10,True,18,0.71,0.774225
fm_3,family_medicine,hard_path_auto_syn0_noHier,False,True,True,0,False,0,0.675,0.7215
fm_3,family_medicine,hard_path_auto_syn0_hier,False,True,True,0,True,18,0.68,0.730375
fm_3,family_medicine,hard_path_auto_syn5_noHier,False,True,True,5,False,0,0.655,0.74565
fm_3,family_medicine,hard_path_auto_syn5_hier,False,True,True,5,True,18,0.675,0.73135
fm_3,family_medicine,hard_path_auto_syn10_noHier,False,True,True,10,False,0,0.685,0.7355
fm_3,family_medicine,hard_path_auto_syn10_hier,False,True,True,10,True,18,0.64,0.672675
fm_3,family_medicine,hard_path_noAuto_syn0_noHier,False,True,False,0,False,0,0.75,0.815575
fm_3,family_medicine,hard_path_noAuto_syn0_hier,False,True,False,0,True,18,0.73,0.8085749999999999
fm_3,family_medicine,hard_path_noAuto_syn5_noHier,False,True,False,5,False,0,0.73,0.8154250000000001
fm_3,family_medicine,hard_path_noAuto_syn5_hier,False,True,False,5,True,18,0.73,0.8025749999999999
fm_3,family_medicine,hard_path_noAuto_syn10_noHier,False,True,False,10,False,0,0.735,0.7986
fm_3,family_medicine,hard_path_noAuto_syn10_hier,False,True,False,10,True,18,0.71,0.7743749999999999
fm_3,family_medicine,soft_noPath_auto_syn0_noHier,True,False,True,0,False,0,0.605,0.6225
fm_3,family_medicine,soft_noPath_auto_syn0_hier,True,False,True,0,True,18,0.62,0.6434249999999999
fm_3,family_medicine,soft_noPath_auto_syn5_noHier,True,False,True,5,False,0,0.615,0.6514500000000001
fm_3,family_medicine,soft_noPath_auto_syn5_hier,True,False,True,5,True,18,0.63,0.657025
fm_3,family_medicine,soft_noPath_auto_syn10_noHier,True,False,True,10,False,0,0.575,0.6167
fm_3,family_medicine,soft_noPath_auto_syn10_hier,True,False,True,10,True,18,0.575,0.623
fm_3,family_medicine,soft_noPath_noAuto_syn0_noHier,True,False,False,0,False,0,0.705,0.7808
fm_3,family_medicine,soft_noPath_noAuto_syn0_hier,True,False,False,0,True,18,0.74,0.795425
fm_3,family_medicine,soft_noPath_noAuto_syn5_noHier,True,False,False,5,False,0,0.76,0.8315750000000001
fm_3,family_medicine,soft_noPath_noAuto_syn5_hier,True,False,False,5,True,18,0.73,0.7968750000000001
fm_3,family_medicine,soft_noPath_noAuto_syn10_noHier,True,False,False,10,False,0,0.75,0.783875
fm_3,family_medicine,soft_noPath_noAuto_syn10_hier,True,False,False,10,True,18,0.74,0.769325
fm_3,family_medicine,soft_path_auto_syn0_noHier,True,True,True,0,False,0,0.58,0.6444250000000001
fm_3,family_medicine,soft_path_auto_syn0_hier,True,True,True,0,True,18,0.6,0.655775
fm_3,family_medicine,soft_path_auto_syn5_noHier,True,True,True,5,False,0,0.62,0.662075
fm_3,family_medicine,soft_path_auto_syn5_hier,True,True,True,5,True,18,0.6,0.668625
fm_3,family_medicine,soft_path_auto_syn10_noHier,True,True,True,10,False,0,0.605,0.644
fm_3,family_medicine,soft_path_auto_syn10_hier,True,True,True,10,True,18,0.6,0.636475
fm_3,family_medicine,soft_path_noAuto_syn0_noHier,True,True,False,0,False,0,0.755,0.80465
fm_3,family_medicine,soft_path_noAuto_syn0_hier,True,True,False,0,True,18,0.75,0.8117249999999999
fm_3,family_medicine,soft_path_noAuto_syn5_noHier,True,True,False,5,False,0,0.76,0.825425
fm_3,family_medicine,soft_path_noAuto_syn5_hier,True,True,False,5,True,18,0.74,0.7990249999999999
fm_3,family_medicine,soft_path_noAuto_syn10_noHier,True,True,False,10,False,0,0.735,0.78925
fm_3,family_medicine,soft_path_noAuto_syn10_hier,True,True,False,10,True,18,0.74,0.7837250000000001
fm_4,family_medicine,hard_noPath_auto_syn0_noHier,False,False,True,0,False,0,0.74,0.82555
fm_4,family_medicine,hard_noPath_auto_syn0_hier,False,False,True,0,True,18,0.71,0.796
fm_4,family_medicine,hard_noPath_auto_syn5_noHier,False,False,True,5,False,0,0.745,0.8228249999999999
fm_4,family_medicine,hard_noPath_auto_syn5_hier,False,False,True,5,True,18,0.745,0.814425
fm_4,family_medicine,hard_noPath_auto_syn10_noHier,False,False,True,10,False,0,0.715,0.783425
fm_4,family_medicine,hard_noPath_auto_syn10_hier,False,False,True,10,True,18,0.73,0.80705
fm_4,family_medicine,hard_noPath_noAuto_syn0_noHier,False,False,False,0,False,0,0.8,0.8895500000000001
fm_4,family_medicine,hard_noPath_noAuto_syn0_hier,False,False,False,0,True,18,0.815,0.883025
fm_4,family_medicine,hard_noPath_noAuto_syn5_noHier,False,False,False,5,False,0,0.795,0.8814749999999999
fm_4,family_medicine,hard_noPath_noAuto_syn5_hier,False,False,False,5,True,18,0.775,0.877825
fm_4,family_medicine,hard_noPath_noAuto_syn10_noHier,False,False,False,10,False,0,0.785,0.8712749999999999
fm_4,family_medicine,hard_noPath_noAuto_syn10_hier,False,False,False,10,True,18,0.825,0.901725
fm_4,family_medicine,hard_path_auto_syn0_noHier,False,True,True,0,False,0,0.74,0.8148000000000001
fm_4,family_medicine,hard_path_auto_syn0_hier,False,True,True,0,True,18,0.75,0.8397499999999999
fm_4,family_medicine,hard_path_auto_syn5_noHier,False,True,True,5,False,0,0.72,0.7875
fm_4,family_medicine,hard_path_auto_syn5_hier,False,True,True,5,True,18,0.76,0.83745
fm_4,family_medicine,hard_path_auto_syn10_noHier,False,True,True,10,False,0,0.725,0.825425
fm_4,family_medicine,hard_path_auto_syn10_hier,False,True,True,10,True,18,0.735,0.822325
fm_4,family_medicine,hard_path_noAuto_syn0_noHier,False,True,False,0,False,0,0.82,0.89325
fm_4,family_medicine,hard_path_noAuto_syn0_hier,False,True,False,0,True,18,0.84,0.91285
fm_4,family_medicine,hard_path_noAuto_syn5_noHier,False,True,False,5,False,0,0.82,0.88695
fm_4,family_medicine,hard_path_noAuto_syn5_hier,False,True,False,5,True,18,0.825,0.896875
fm_4,family_medicine,hard_path_noAuto_syn10_noHier,False,True,False,10,False,0,0.815,0.8810749999999999
fm_4,family_medicine,hard_path_noAuto_syn10_hier,False,True,False,10,True,18,0.8,0.8804500000000001
fm_4,family_medicine,soft_noPath_auto_syn0_noHier,True,False,True,0,False,0,0.7,0.7515999999999999
fm_4,family_medicine,soft_noPath_auto_syn0_hier,True,False,True,0,True,18,0.7,0.7793
fm_4,family_medicine,soft_noPath_auto_syn5_noHier,True,False,True,5,False,0,0.665,0.745375
fm_4,family_medicine,soft_noPath_auto_syn5_hier,True,False,True,5,True,18,0.69,0.7277
fm_4,family_medicine,soft_noPath_auto_syn10_noHier,True,False,True,10,False,0,0.7,0.76295
fm_4,family_medicine,soft_noPath_auto_syn10_hier,True,False,True,10,True,18,0.705,0.756275
fm_4,family_medicine,soft_noPath_noAuto_syn0_noHier,True,False,False,0,False,0,0.775,0.8779750000000001
fm_4,family_medicine,soft_noPath_noAuto_syn0_hier,True,False,False,0,True,18,0.82,0.89945
fm_4,family_medicine,soft_noPath_noAuto_syn5_noHier,True,False,False,5,False,0,0.81,0.89875
fm_4,family_medicine,soft_noPath_noAuto_syn5_hier,True,False,False,5,True,18,0.78,0.8786499999999999
fm_4,family_medicine,soft_noPath_noAuto_syn10_noHier,True,False,False,10,False,0,0.79,0.85425
fm_4,family_medicine,soft_noPath_noAuto_syn10_hier,True,False,False,10,True,18,0.785,0.8794249999999999
fm_4,family_medicine,soft_path_auto_syn0_noHier,True,True,True,0,False,0,0.68,0.7583
fm_4,family_medicine,soft_path_auto_syn0_hier,True,True,True,0,True,18,0.685,0.7619749999999998
fm_4,family_medicine,soft_path_auto_syn5_noHier,True,True,True,5,False,0,0.695,0.742275
fm_4,family_medicine,soft_path_auto_syn5_hier,True,True,True,5,True,18,0.7,0.7581
fm_4,family_medicine,soft_path_auto_syn10_noHier,True,True,True,10,False,0,0.665,0.7441749999999999
fm_4,family_medicine,soft_path_auto_syn10_hier,True,True,True,10,True,18,0.695,0.764025
fm_4,family_medicine,soft_path_noAuto_syn0_noHier,True,True,False,0,False,0,0.825,0.910325
fm_4,family_medicine,soft_path_noAuto_syn0_hier,True,True,False,0,True,18,0.825,0.922625
fm_4,family_medicine,soft_path_noAuto_syn5_noHier,True,True,False,5,False,0,0.835,0.8973749999999999
fm_4,family_medicine,soft_path_noAuto_syn5_hier,True,True,False,5,True,18,0.805,0.906325
fm_4,family_medicine,soft_path_noAuto_syn10_noHier,True,True,False,10,False,0,0.81,0.8588
fm_4,family_medicine,soft_path_noAuto_syn10_hier,True,True,False,10,True,18,0.77,0.8648
fm_5,family_medicine,hard_noPath_auto_syn0_noHier,False,False,True,0,False,0,0.695,0.765875
fm_5,family_medicine,hard_noPath_auto_syn0_hier,False,False,True,0,True,18,0.69,0.7766000000000001
fm_5,family_medicine,hard_noPath_auto_syn5_noHier,False,False,True,5,False,0,0.665,0.726575
fm_5,family_medicine,hard_noPath_auto_syn5_hier,False,False,True,5,True,18,0.71,0.7755
fm_5,family_medicine,hard_noPath_auto_syn10_noHier,False,False,True,10,False,0,0.68,0.7459500000000001
fm_5,family_medicine,hard_noPath_auto_syn10_hier,False,False,True,10,True,18,0.715,0.7707250000000001
fm_5,family_medicine,hard_noPath_noAuto_syn0_noHier,False,False,False,0,False,0,0.79,0.8577
fm_5,family_medicine,hard_noPath_noAuto_syn0_hier,False,False,False,0,True,18,0.82,0.873
fm_5,family_medicine,hard_noPath_noAuto_syn5_noHier,False,False,False,5,False,0,0.84,0.8987999999999999
fm_5,family_medicine,hard_noPath_noAuto_syn5_hier,False,False,False,5,True,18,0.84,0.8871
fm_5,family_medicine,hard_noPath_noAuto_syn10_noHier,False,False,False,10,False,0,0.785,0.840575
fm_5,family_medicine,hard_noPath_noAuto_syn10_hier,False,False,False,10,True,18,0.785,0.865675
fm_5,family_medicine,hard_path_auto_syn0_noHier,False,True,True,0,False,0,0.74,0.8053
fm_5,family_medicine,hard_path_auto_syn0_hier,False,True,True,0,True,18,0.75,0.83125
fm_5,family_medicine,hard_path_auto_syn5_noHier,False,True,True,5,False,0,0.71,0.7750999999999999
fm_5,family_medicine,hard_path_auto_syn5_hier,False,True,True,5,True,18,0.695,0.7913250000000001
fm_5,family_medicine,hard_path_auto_syn10_noHier,False,True,True,10,False,0,0.685,0.7766749999999999
fm_5,family_medicine,hard_path_auto_syn10_hier,False,True,True,10,True,18,0.7,0.76645
fm_5,family_medicine,hard_path_noAuto_syn0_noHier,False,True,False,0,False,0,0.855,0.901075
fm_5,family_medicine,hard_path_noAuto_syn0_hier,False,True,False,0,True,18,0.85,0.8862
fm_5,family_medicine,hard_path_noAuto_syn5_noHier,False,True,False,5,False,0,0.855,0.905125
fm_5,family_medicine,hard_path_noAuto_syn5_hier,False,True,False,5,True,18,0.835,0.914475
fm_5,family_medicine,hard_path_noAuto_syn10_noHier,False,True,False,10,False,0,0.79,0.8689500000000001
fm_5,family_medicine,hard_path_noAuto_syn10_hier,False,True,False,10,True,18,0.81,0.88445
fm_5,family_medicine,soft_noPath_auto_syn0_noHier,True,False,True,0,False,0,0.625,0.689975
fm_5,family_medicine,soft_noPath_auto_syn0_hier,True,False,True,0,True,18,0.685,0.7235750000000001
fm_5,family_medicine,soft_noPath_auto_syn5_noHier,True,False,True,5,False,0,0.64,0.6902999999999999
fm_5,family_medicine,soft_noPath_auto_syn5_hier,True,False,True,5,True,18,0.625,0.689125
fm_5,family_medicine,soft_noPath_auto_syn10_noHier,True,False,True,10,False,0,0.63,0.68925
fm_5,family_medicine,soft_noPath_auto_syn10_hier,True,False,True,10,True,18,0.645,0.696675
fm_5,family_medicine,soft_noPath_noAuto_syn0_noHier,True,False,False,0,False,0,0.805,0.8672249999999999
fm_5,family_medicine,soft_noPath_noAuto_syn0_hier,True,False,False,0,True,18,0.81,0.87575
fm_5,family_medicine,soft_noPath_noAuto_syn5_noHier,True,False,False,5,False,0,0.825,0.891125
fm_5,family_medicine,soft_noPath_noAuto_syn5_hier,True,False,False,5,True,18,0.825,0.904625
fm_5,family_medicine,soft_noPath_noAuto_syn10_noHier,True,False,False,10,False,0,0.78,0.8305500000000001
fm_5,family_medicine,soft_noPath_noAuto_syn10_hier,True,False,False,10,True,18,0.75,0.83035
fm_5,family_medicine,soft_path_auto_syn0_noHier,True,True,True,0,False,0,0.66,0.7395999999999999
fm_5,family_medicine,soft_path_auto_syn0_hier,True,True,True,0,True,18,0.685,0.778775
fm_5,family_medicine,soft_path_auto_syn5_noHier,True,True,True,5,False,0,0.665,0.7343249999999999
fm_5,family_medicine,soft_path_auto_syn5_hier,True,True,True,5,True,18,0.665,0.728425
fm_5,family_medicine,soft_path_auto_syn10_noHier,True,True,True,10,False,0,0.605,0.679225
fm_5,family_medicine,soft_path_auto_syn10_hier,True,True,True,10,True,18,0.625,0.679025
fm_5,family_medicine,soft_path_noAuto_syn0_noHier,True,True,False,0,False,0,0.865,0.920175
fm_5,family_medicine,soft_path_noAuto_syn0_hier,True,True,False,0,True,18,0.88,0.9211
fm_5,family_medicine,soft_path_noAuto_syn5_noHier,True,True,False,5,False,0,0.82,0.90655
fm_5,family_medicine,soft_path_noAuto_syn5_hier,True,True,False,5,True,18,0.815,0.913375
fm_5,family_medicine,soft_path_noAuto_syn10_noHier,True,True,False,10,False,0,0.78,0.8386999999999999
fm_5,family_medicine,soft_path_noAuto_syn10_hier,True,True,False,10,True,18,0.78,0.8613500000000001
ph_1,public_health,hard_noPath_auto_syn0_noHier,False,False,True,0,False,0,0.555,0.5610499999999999
ph_1,public_health,hard_noPath_auto_syn0_hier,False,False,True,0,True,18,0.575,0.5773
ph_1,public_health,hard_noPath_auto_syn5_noHier,False,False,True,5,False,0,0.555,0.54645
ph_1,public_health,hard_noPath_auto_syn5_hier,False,False,True,5,True,18,0.565,0.5637
ph_1,public_health,hard_noPath_auto_syn10_noHier,False,False,True,10,False,0,0.575,0.56475
ph_1,public_health,hard_noPath_auto_syn10_hier,False,False,True,10,True,18,0.545,0.5507
ph_1,public_health,hard_noPath_noAuto_syn0_noHier,False,False,False,0,False,0,0.58,0.5888249999999999
ph_1,public_health,hard_noPath_noAuto_syn0_hier,False,False,False,0,True,18,0.575,0.56945
ph_1,public_health,hard_noPath_noAuto_syn5_noHier,False,False,False,5,False,0,0.575,0.5751
ph_1,public_health,hard_noPath_noAuto_syn5_hier,False,False,False,5,True,18,0.525,0.5602
